tag,count,means
"scp",1,"SCP に関する話題で使うタグ"
"sequence",1,"UML のシーケンス図に関する話題で使うタグ"
"sha-3",1,"暗号学的ハッシュ関数 SHA-3 に関する話題で使うタグ"
"singleton",1,"プログラミングデザインパターン シングルトン（Singleton）に関する話題で使うタグ"
"singularity",1,"AI におけるシンギュラリティ (Singularity) に関する話題で使うタグ"
"smart-contract",1,"Fintech 用語 smart contract に関する話題で使うタグ"
"stack",1,"プログラム構造のスタックに関する話題で使うタグ"
"study",1,"研究・見学（オトナの社会科見学）に関する話題で使うタグ"
"svg",1,"SVG (Scalable Vector Graphics) に関する話題で使うタグ"
"swing-by",1,"宇宙探査におけるスイングバイ (swing-by) に関する話題で使うタグ"
"sync",1,"Go 言語の sync パッケージに関する話題で使うタグ"
"syntax-highlight",1,"構文強調表示（Syntax Highlighting）に関する話題で使うタグ"
"tensorflow",1,"機械学習ライブラリ TensorFlow https://www.tensorflow.org/ に関する話題で使うタグ"
"tmt",1,"国立天文台 TMT (Thirty Meter Telescope) https://www.nao.ac.jp/research/telescope/tmt.html に関する話題で使うタグ"
"transit",1,"天文学の日面経過（日面通過）に関する話題で使うタグ"
"trello",1,"Trello https://trello.com/ に関する話題で使うタグ"
"truecrypt",1,"TrueCrypt https://www.truecrypt.org/ に関する話題で使うタグ"
"tsunami",1,"津波に関する話題で使うタグ"
"tumblr",1,"Tumblr https://www.tumblr.com/ に関する話題で使うタグ"
"unix-time",1,"UNIX 時刻に関する話題で使うタグ"
"variable-bindings",1,"Rust における変数束縛に関する話題で使うタグ"
"vector",1,"数学のベクトルに関する話題で使うタグ"
"vehicle",1,"自動車に関する話題で使うタグ"
"venus",1,"金星に関する話題で使うタグ"
"voyager",1,"惑星探査機 Voyager https://science.nasa.gov/mission/voyager/ に関する話題で使うタグ"
"vuls",1,"脆弱性検知ツール Vuls に関する話題で使うタグ"
"wine",1,"Wine https://www.winehq.org/ に関する話題で使うタグ"
"wireguard",1,"WireGuard 技術に関する話題で使うタグ"
"wpa2",1,"WPA2 に関する話題で使うタグ"
"yubikey",1,"YubiKey に関する話題で使うタグ"
"zed",1,"テキストエディタ zed https://zed.dev/ に関する話題で使うタグ"
"zlib",1,"Go 言語の compress/zlib パッケージに関する話題で使うタグ"
